question_id,poll_id,cycle,state,pollster_id,pollster,sponsor_ids,sponsors,display_name,pollster_rating_id,pollster_rating_name,fte_grade,sample_size,population,population_full,methodology,office_type,seat_number,seat_name,start_date,end_date,election_date,sponsor_candidate,internal,partisan,tracking,nationwide_batch,ranked_choice_reallocated,created_at,notes,url,stage,answer,candidate_name,candidate_party,pct,diff
103700,59775,2020,,1416,Harris Interactive,985,ScottRasmussen.com,HarrisX,133.0,Harris Interactive,C+,1000,rv,rv,Online,U.S. President,0,,10/1/19,10/2/19,,,False,,,False,False,10/2/19 23:11,,https://scottrasmussen.com/crosstabs-oct-1-2-19-3/,general,Biden,Joseph R. Biden Jr.,DEM,44.0,-3.363636363636367
103700,59775,2020,,1416,Harris Interactive,985,ScottRasmussen.com,HarrisX,133.0,Harris Interactive,C+,1000,rv,rv,Online,U.S. President,0,,10/1/19,10/2/19,,,False,,,False,False,10/2/19 23:11,,https://scottrasmussen.com/crosstabs-oct-1-2-19-3/,general,Trump,Donald Trump,REP,35.0,-3.363636363636367
103701,59775,2020,,1416,Harris Interactive,985,ScottRasmussen.com,HarrisX,133.0,Harris Interactive,C+,1000,rv,rv,Online,U.S. President,0,,10/1/19,10/2/19,,,False,,,False,False,10/2/19 23:11,,https://scottrasmussen.com/crosstabs-oct-1-2-19-3/,general,Sanders,Bernard Sanders,DEM,38.0,-3.363636363636367
103701,59775,2020,,1416,Harris Interactive,985,ScottRasmussen.com,HarrisX,133.0,Harris Interactive,C+,1000,rv,rv,Online,U.S. President,0,,10/1/19,10/2/19,,,False,,,False,False,10/2/19 23:11,,https://scottrasmussen.com/crosstabs-oct-1-2-19-3/,general,Trump,Donald Trump,REP,37.0,-3.363636363636367
103702,59775,2020,,1416,Harris Interactive,985,ScottRasmussen.com,HarrisX,133.0,Harris Interactive,C+,1000,rv,rv,Online,U.S. President,0,,10/1/19,10/2/19,,,False,,,False,False,10/2/19 23:11,,https://scottrasmussen.com/crosstabs-oct-1-2-19-3/,general,Warren,Elizabeth Warren,DEM,37.0,-3.363636363636367
103702,59775,2020,,1416,Harris Interactive,985,ScottRasmussen.com,HarrisX,133.0,Harris Interactive,C+,1000,rv,rv,Online,U.S. President,0,,10/1/19,10/2/19,,,False,,,False,False,10/2/19 23:11,,https://scottrasmussen.com/crosstabs-oct-1-2-19-3/,general,Trump,Donald Trump,REP,37.0,-3.363636363636367
103703,59775,2020,,1416,Harris Interactive,985,ScottRasmussen.com,HarrisX,133.0,Harris Interactive,C+,1000,rv,rv,Online,U.S. President,0,,10/1/19,10/2/19,,,False,,,False,False,10/2/19 23:11,,https://scottrasmussen.com/crosstabs-oct-1-2-19-3/,general,Harris,Kamala D. Harris,DEM,35.0,-3.363636363636367
103703,59775,2020,,1416,Harris Interactive,985,ScottRasmussen.com,HarrisX,133.0,Harris Interactive,C+,1000,rv,rv,Online,U.S. President,0,,10/1/19,10/2/19,,,False,,,False,False,10/2/19 23:11,,https://scottrasmussen.com/crosstabs-oct-1-2-19-3/,general,Trump,Donald Trump,REP,38.0,-3.363636363636367
103704,59775,2020,,1416,Harris Interactive,985,ScottRasmussen.com,HarrisX,133.0,Harris Interactive,C+,1000,rv,rv,Online,U.S. President,0,,10/1/19,10/2/19,,,False,,,False,False,10/2/19 23:11,,https://scottrasmussen.com/crosstabs-oct-1-2-19-3/,general,Buttigieg,Pete Buttigieg,DEM,32.0,-3.363636363636367
103704,59775,2020,,1416,Harris Interactive,985,ScottRasmussen.com,HarrisX,133.0,Harris Interactive,C+,1000,rv,rv,Online,U.S. President,0,,10/1/19,10/2/19,,,False,,,False,False,10/2/19 23:11,,https://scottrasmussen.com/crosstabs-oct-1-2-19-3/,general,Trump,Donald Trump,REP,37.0,-3.363636363636367
103705,59775,2020,,1416,Harris Interactive,985,ScottRasmussen.com,HarrisX,133.0,Harris Interactive,C+,1000,rv,rv,Online,U.S. President,0,,10/1/19,10/2/19,,,False,,,False,False,10/2/19 23:11,,https://scottrasmussen.com/crosstabs-oct-1-2-19-3/,general,O'Rourke,Beto O'Rourke,DEM,32.0,-3.363636363636367
103705,59775,2020,,1416,Harris Interactive,985,ScottRasmussen.com,HarrisX,133.0,Harris Interactive,C+,1000,rv,rv,Online,U.S. President,0,,10/1/19,10/2/19,,,False,,,False,False,10/2/19 23:11,,https://scottrasmussen.com/crosstabs-oct-1-2-19-3/,general,Trump,Donald Trump,REP,36.0,-3.363636363636367
103706,59775,2020,,1416,Harris Interactive,985,ScottRasmussen.com,HarrisX,133.0,Harris Interactive,C+,1000,rv,rv,Online,U.S. President,0,,10/1/19,10/2/19,,,False,,,False,False,10/2/19 23:11,,https://scottrasmussen.com/crosstabs-oct-1-2-19-3/,general,Booker,Cory A. Booker,DEM,33.0,-3.363636363636367
103706,59775,2020,,1416,Harris Interactive,985,ScottRasmussen.com,HarrisX,133.0,Harris Interactive,C+,1000,rv,rv,Online,U.S. President,0,,10/1/19,10/2/19,,,False,,,False,False,10/2/19 23:11,,https://scottrasmussen.com/crosstabs-oct-1-2-19-3/,general,Trump,Donald Trump,REP,37.0,-3.363636363636367
103707,59775,2020,,1416,Harris Interactive,985,ScottRasmussen.com,HarrisX,133.0,Harris Interactive,C+,1000,rv,rv,Online,U.S. President,0,,10/1/19,10/2/19,,,False,,,False,False,10/2/19 23:11,,https://scottrasmussen.com/crosstabs-oct-1-2-19-3/,general,Castro,Julián Castro,DEM,30.0,-3.363636363636367
